,Window Size,Trend
0,10,-1.6606060606060615
1,20,-0.2112781954887219
2,30,-0.20333704115684018
3,40,-0.12992495309568522
4,50,-0.06045618247298932
5,60,-0.023673242567379994
6,70,-0.001382206281165105
7,80,-0.07659399906235333
8,90,-0.12910235831584135
9,100,-0.16089408940894095
10,110,-0.10250433920158696
11,120,-0.06213625946246302
12,130,-0.04663999235275639
13,140,-0.03388948415735487
14,150,-0.021017823014356205
15,160,-0.01078899566389311
16,170,-0.002371749073344756
17,180,-0.014041585645647614
18,190,-0.027421958036452358
19,200,-0.040220505512637936
20,210,-0.04983721691130031
21,220,-0.05694820892242332
22,230,-0.06174292766280618
23,240,-0.06481970173093274
24,250,-0.06486362981807713
25,260,-0.06417527796838153
26,270,-0.06319976954416381
27,280,-0.06195614739983931
28,290,-0.06024525282395008
29,300,-0.058533317036856006
30,310,-0.056473415016570674
31,320,-0.054412518676940136
32,330,-0.05288336398447615
33,340,-0.051342088752039834
34,350,-0.049805934275848354
35,360,-0.048287666828704986
36,370,-0.046796622406378566
37,380,-0.0453395033716883
38,390,-0.04392098870826541
39,400,-0.04254420340127121
40,410,-0.041211080752500795
41,420,-0.03982424584525509
42,430,-0.0387192907454063
43,440,-0.03739855436894163
44,450,-0.036251504122654134
45,460,-0.03514710043217511
46,470,-0.034084336029954206
47,480,-0.03306204671027223
48,490,-0.03207896130601231
49,500,-0.031133740534962158
50,510,-0.030225007084406598
51,520,-0.029351368789199497
52,530,-0.02851143636062833
53,540,-0.02770383681395034
54,550,-0.026927223500964236
55,560,-0.026180283464825253
56,570,-0.025461742685702674
57,580,-0.02477036966877695
58,590,-0.0241049777335407
59,600,-0.023464426290073045
60,610,-0.022847621329754514
61,620,-0.022253515311585263
62,630,-0.021681106588350013
63,640,-0.02112943848739862
64,650,-0.020597598137237275
65,660,-0.020084715112251947
66,670,-0.019576972954026484
67,680,-0.0190359853464979
68,690,-0.018405799232293393
69,700,-0.017841342533352077
70,710,-0.017185272879413474
71,720,-0.016482686759297992
72,730,-0.015908481154271504
73,740,-0.0154258222985522
74,750,-0.014964577714804826
75,760,-0.014605876176524233
76,770,-0.014319510366223188
77,780,-0.01405994067405412
78,790,-0.013787454728914437
79,800,-0.013400599063436054
80,810,-0.01314815125291897
81,820,-0.012910942577322077
82,830,-0.0126619222007416
83,840,-0.012251910382930963
84,850,-0.011704073191064063
85,860,-0.01119223720132194
86,870,-0.010627910952998726
87,880,-0.010338697845332019
88,890,-0.010022444845058315
89,900,-0.009741830956992938
90,910,-0.009450605981455536
91,920,-0.009178125826872567
92,930,-0.008868654400780487
93,940,-0.00855915361432967
94,950,-0.008210689371809195
95,960,-0.007839499608832063
96,970,-0.007447972301725944
97,980,-0.007056831035213231
98,990,-0.0066662715303312204
99,1000,-0.006379080379080388
100,1010,-0.006214353161354508
101,1020,-0.006010098048921611
102,1030,-0.005763811031232289
103,1040,-0.005269484560145898
104,1050,-0.005199745565042942
105,1060,-0.005199607319787294
106,1070,-0.005196777223780407
107,1080,-0.005191452972401005
108,1090,-0.005183818779627682
109,1100,-0.005174046349700224
110,1110,-0.005162295772871716
111,1120,-0.0051107243389065145
112,1130,-0.005031602176531294
113,1140,-0.005018321238441936
114,1150,-0.004962944165290246
115,1160,-0.004881719001646523
116,1170,-0.004793723333075033
117,1180,-0.00473803406804017
118,1190,-0.004662083250232789
119,1200,-0.0045755066496574
120,1210,-0.004430251829095753
121,1220,-0.0042784204513114385
122,1230,-0.00412429962640455
123,1240,-0.003968134734739028
124,1250,-0.0037529388498808857
125,1260,-0.0035844243864027194
126,1270,-0.0035807993659463136
127,1280,-0.003572369848553369
128,1290,-0.0035308414748412703
129,1300,-0.0034653202116141533
130,1310,-0.003380691630679568
131,1320,-0.0032987382234598247
132,1330,-0.003202527316947471
133,1340,-0.0031128073313380325
134,1350,-0.00300961360076346
135,1360,-0.0028971088900255427
136,1370,-0.0025973273830308397
137,1380,-0.002501631405932312
138,1390,-0.0024148523512250862
139,1400,-0.0022641046536977013
140,1410,-0.002161138578515714
141,1420,-0.0017719330071389477
142,1430,-0.0017455079261065732
143,1440,-0.0017884083020230552
144,1450,-0.0018317965168247825
145,1460,-0.0018674269782694116
146,1470,-0.0019065893124923948
147,1480,-0.0019409588501110144
148,1490,-0.0019734418337248698
149,1500,-0.0020041484462882094
150,1510,-0.0020357359352373254
151,1520,-0.002062965610793008
152,1530,-0.00208861604694874
153,1540,-0.0021127550619678102
154,1550,-0.0021354474331022363
155,1560,-0.0021542943030213564
156,1570,-0.002174338518845721
157,1580,-0.0021954894716425593
158,1590,-0.00224359347284039
159,1600,-0.002259166409830635
160,1610,-0.002273646481166958
161,1620,-0.0022870802462244106
162,1630,-0.0022995122430852946
163,1640,-0.0023109850839220644
164,1650,-0.0023215395454356824
165,1660,-0.0023312146546302093
166,1670,-0.002340047770187285
167,1680,-0.002348074659687946
168,1690,-0.002355329572913903
169,1700,-0.0023618453114465795
170,1710,-0.0023676532947683924
171,1720,-0.002372783623059108
172,1730,-0.002377265136867974
173,1740,-0.0023811254738319997
174,1750,-0.0023843911226000144
175,1760,-0.00237938796233059
176,1770,-0.0023817124033617726
177,1780,-0.0023816310077647406
178,1790,-0.0023773636145101255
179,1800,-0.0023783412690353656
180,1810,-0.002378853697948235
181,1820,-0.0023716952875849563
182,1830,-0.002366144911467572
183,1840,-0.002358596822446556
184,1850,-0.002342151080169701
185,1860,-0.0023223855078710453
186,1870,-0.0023113887613363583
187,1880,-0.002308796331938899
188,1890,-0.0022573513611136038
189,1900,-0.0022585006985203966
190,1910,-0.002233015832965375
191,1920,-0.0021868961756445785
192,1930,-0.0021354653498293465
193,1940,-0.0020947992961212027
194,1950,-0.002036169452692113
195,1960,-0.0020411757113193113
196,1970,-0.0018213695509817609
197,1980,-0.001600098419172194
198,1990,-0.001436404625897758
199,2000,-0.001268416817104218
200,2010,-0.0010830427670213037
201,2020,-0.000895623682928572
202,2030,-0.00070486269629408
203,2040,-0.0006618016154791652
204,2050,-0.0006668164846097672
205,2060,-0.0007079285881026219
206,2070,-0.0007547408715577843
207,2080,-0.000805634911833859
208,2090,-0.0008549716837777248
209,2100,-0.0009027964470222087
210,2110,-0.0009236627295781032
211,2120,-0.0009411664070080509
212,2130,-0.0009593746555726566
213,2140,-0.000976960613902505
214,2150,-0.0009887542104037748
215,2160,-0.00100138445960173
216,2170,-0.0010071924970009927
217,2180,-0.0010115022718675507
218,2190,-0.0010267396910446185
219,2200,-0.0010414386073595797
220,2210,-0.0010556146992173132
221,2220,-0.001069283159511653
222,2230,-0.001082458712218703
223,2240,-0.001095155628362141
224,2250,-0.0011073877413770043
225,2260,-0.0011191684618965202
226,2270,-0.0011305107919862968
227,2280,-0.0011379875145972422
228,2290,-0.00115312493338582
229,2300,-0.001158705405196224
230,2310,-0.0011684741056141462
231,2320,-0.0011778626452884499
232,2330,-0.0011868818709972419
233,2340,-0.0011955423062226154
234,2350,-0.0012038541617219534
235,2360,-0.0012118273457175897
236,2370,-0.0012194714737198934
237,2380,-0.0012267958779983185
238,2390,-0.001233809616714331
239,2400,-0.001240521482729422
240,2410,-0.0012469400121010918
241,2420,-0.001253073492278693
242,2430,-0.0012589299700109392
243,2440,-0.0012645172589763913
244,2450,-0.001269842947147203
245,2460,-0.0012749144038967635
246,2470,-0.0012797387868607967
247,2480,-0.0012843230485613051
248,2490,-0.0012886739428025905
249,2500,-0.0012927980308476863
250,2510,-0.0012967016873836586
251,2520,-0.0013003911062836157
252,2530,-0.001302941977369125
253,2540,-0.001301596021474858
254,2550,-0.0012919004180501309
255,2560,-0.0012850329452564846
256,2570,-0.0012691658210453774
257,2580,-0.0012472617841904196
258,2590,-0.0012329153381186243
259,2600,-0.0012240606043785738
260,2610,-0.0012153018213386254
261,2620,-0.0012136121925037837
262,2630,-0.0012170348626363732
263,2640,-0.001221985981220331
264,2650,-0.001225024644307202
265,2660,-0.0012168772337643643
266,2670,-0.0012197417483873808
267,2680,-0.0012232730421446846
268,2690,-0.001224966132743411
269,2700,-0.0012101312435784345
270,2710,-0.0011800551798689942
271,2720,-0.0011513512426611443
272,2730,-0.001115164849142726
273,2740,-0.0011051745437216356
274,2750,-0.0010913298753373803
275,2760,-0.0010800661559587556
276,2770,-0.0010666148686232836
277,2780,-0.0010541347697911878
278,2790,-0.0010364691526435668
279,2800,-0.0010175762959736521
280,2810,-0.0009929555651265048
281,2820,-0.0009642651577964957
282,2830,-0.0009316271088566226
283,2840,-0.0008973832071978292
284,2850,-0.0008615728005046603
285,2860,-0.0008367302824769541
286,2870,-0.00082608267770207
287,2880,-0.0008098379098955827
288,2890,-0.0007874302617497857
289,2900,-0.000731983850209238
290,2910,-0.0007299119920904696
291,2920,-0.0007369342210562083
292,2930,-0.0007437623007657877
293,2940,-0.0007504005246529581
294,2950,-0.0007568530855722052
295,2960,-0.0007631240783973588
296,2970,-0.0007692175025459341
297,2980,-0.0007697466123965681
298,2990,-0.0007662048437260747
299,3000,-0.0007719838635537534
300,3010,-0.0007716546777343561
301,3020,-0.0007673503165379786
302,3030,-0.0007617748782359793
303,3040,-0.0007607919593272122
304,3050,-0.0007565634941257163
305,3060,-0.0007504507196264094
306,3070,-0.0007348861789425341
